seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 0; vertex_count: 0; textures_count: 0; fps: 0
